user,objects,qoe,time
25,LongDress_r5_r3_d500,8,2023-03-20-15:22:49+01:00
25,Loot_r3_r1_d500,4,2023-03-20-15:23:06+01:00
25,LongDress_r5_r1_d500,3,2023-03-20-15:23:25+01:00
25,LongDress_r3_r3_d500,5,2023-03-20-15:23:40+01:00
26,RedAndBlack_r3_r3_d500,7,2023-03-20-15:30:55+01:00
26,RedAndBlack_r3_r3_d250,6,2023-03-20-15:31:12+01:00
26,Soldier_r1_r1_d500,3,2023-03-20-15:31:40+01:00
26,RedAndBlack_r1_r1_d500,5,2023-03-20-15:31:55+01:00
26,Soldier_r1_r1_d125,2,2023-03-20-15:32:25+01:00
26,RedAndBlack_r5_r5_d250,6,2023-03-20-15:32:40+01:00
26,Soldier_r3_r3_d125,5,2023-03-20-15:32:54+01:00
26,Soldier_r3_r3_d500,8,2023-03-20-15:33:08+01:00
26,RedAndBlack_r1_r1_d250,4,2023-03-20-15:33:22+01:00
26,RedAndBlack_r1_r1_d125,3,2023-03-20-15:33:35+01:00
26,Soldier_r5_r5_d500,9,2023-03-20-15:33:50+01:00
26,Soldier_r3_r3_d250,7,2023-03-20-15:34:05+01:00
26,RedAndBlack_r5_r5_d500,8,2023-03-20-15:34:20+01:00
26,RedAndBlack_r3_r3_d125,5,2023-03-20-15:34:53+01:00
26,Soldier_r5_r5_d125,5,2023-03-20-15:35:04+01:00
26,Soldier_r5_r5_d250,7,2023-03-20-15:35:17+01:00
26,RedAndBlack_r5_r5_d125,4,2023-03-20-15:35:34+01:00
26,Soldier_r1_r1_d250,1,2023-03-20-15:35:47+01:00
26,LongDress_r5_r1_d500,7,2023-03-20-15:36:26+01:00
26,Loot_r5_r5_d500,7,2023-03-20-15:36:37+01:00
26,LongDress_r3_r1_d500,5,2023-03-20-15:36:51+01:00
26,Loot_r1_r1_d500,3,2023-03-20-15:37:08+01:00
26,Loot_r1_r5_d500,7,2023-03-20-15:37:25+01:00
26,LongDress_r1_r3_d500,7,2023-03-20-15:37:36+01:00
26,LongDress_r3_r3_d500,8,2023-03-20-15:37:52+01:00
26,Loot_r1_r3_d500,6,2023-03-20-15:38:06+01:00
26,LongDress_r1_r1_d500,3,2023-03-20-15:38:21+01:00
26,LongDress_r5_r5_d500,8,2023-03-20-15:38:35+01:00
26,LongDress_r5_r3_d500,8,2023-03-20-15:38:48+01:00
26,Loot_r3_r3_d500,7,2023-03-20-15:39:02+01:00
26,LongDress_r1_r5_d500,5,2023-03-20-15:39:24+01:00
26,Loot_r3_r5_d500,7,2023-03-20-15:39:37+01:00
26,Loot_r5_r3_d500,6,2023-03-20-15:39:49+01:00
26,Loot_r5_r1_d500,4,2023-03-20-15:40:02+01:00
26,Loot_r3_r1_d500,4,2023-03-20-15:40:13+01:00
26,LongDress_r3_r5_d500,6,2023-03-20-15:40:27+01:00
28,LongDress_r3_r1_d500,6,2023-03-21-09:56:32+01:00
28,Loot_r1_r1_d500,6,2023-03-21-09:56:49+01:00
28,Loot_r1_r3_d500,5,2023-03-21-09:57:03+01:00
28,LongDress_r3_r5_d500,6,2023-03-21-09:57:25+01:00
28,LongDress_r5_r3_d500,7,2023-03-21-09:57:59+01:00
28,LongDress_r1_r1_d500,5,2023-03-21-09:58:21+01:00
28,Loot_r1_r5_d500,6,2023-03-21-09:58:48+01:00
28,LongDress_r5_r1_d500,6,2023-03-21-09:59:00+01:00
28,LongDress_r1_r3_d500,6,2023-03-21-09:59:12+01:00
28,LongDress_r5_r5_d500,7,2023-03-21-09:59:31+01:00
28,Loot_r5_r5_d500,8,2023-03-21-09:59:51+01:00
28,LongDress_r1_r5_d500,5,2023-03-21-10:00:11+01:00
28,Loot_r5_r1_d500,8,2023-03-21-10:00:26+01:00
28,Loot_r3_r1_d500,8,2023-03-21-10:00:38+01:00
28,Loot_r3_r5_d500,9,2023-03-21-10:00:54+01:00
28,Loot_r3_r3_d500,9,2023-03-21-10:01:05+01:00
28,Loot_r5_r3_d500,9,2023-03-21-10:01:16+01:00
28,LongDress_r3_r3_d500,8,2023-03-21-10:01:32+01:00
28,Soldier_r3_r3_d250,6,2023-03-21-10:01:57+01:00
28,Soldier_r5_r5_d250,7,2023-03-21-10:02:18+01:00
28,Soldier_r3_r3_d500,5,2023-03-21-10:02:34+01:00
28,Soldier_r1_r1_d125,2,2023-03-21-10:03:03+01:00
28,Soldier_r5_r5_d125,5,2023-03-21-10:03:28+01:00
28,Soldier_r1_r1_d500,4,2023-03-21-10:03:49+01:00
28,RedAndBlack_r1_r1_d500,5,2023-03-21-10:04:13+01:00
28,Soldier_r3_r3_d125,3,2023-03-21-10:04:31+01:00
28,RedAndBlack_r1_r1_d125,2,2023-03-21-10:04:46+01:00
28,RedAndBlack_r1_r1_d250,3,2023-03-21-10:05:07+01:00
28,RedAndBlack_r5_r5_d250,5,2023-03-21-10:05:26+01:00
28,RedAndBlack_r5_r5_d125,5,2023-03-21-10:05:38+01:00
28,RedAndBlack_r5_r5_d500,6,2023-03-21-10:05:58+01:00
28,Soldier_r1_r1_d250,3,2023-03-21-10:06:17+01:00
28,Soldier_r5_r5_d500,8,2023-03-21-10:06:40+01:00
28,RedAndBlack_r3_r3_d250,6,2023-03-21-10:06:56+01:00
28,RedAndBlack_r3_r3_d125,5,2023-03-21-10:07:12+01:00
28,RedAndBlack_r3_r3_d500,7,2023-03-21-10:07:29+01:00
29,LongDress_r3_r5_d500,7,2023-03-21-10:28:11+01:00
29,Loot_r1_r1_d500,2,2023-03-21-10:28:38+01:00
29,Loot_r1_r3_d500,3,2023-03-21-10:28:57+01:00
29,LongDress_r5_r3_d500,3,2023-03-21-10:29:24+01:00
29,LongDress_r5_r1_d500,5,2023-03-21-10:29:47+01:00
29,Loot_r3_r3_d500,7,2023-03-21-10:30:04+01:00
29,LongDress_r1_r1_d500,5,2023-03-21-10:30:17+01:00
29,Loot_r3_r5_d500,7,2023-03-21-10:30:36+01:00
29,Loot_r3_r1_d500,4,2023-03-21-10:30:56+01:00
29,Loot_r5_r5_d500,7,2023-03-21-10:31:13+01:00
29,Loot_r5_r1_d500,4,2023-03-21-10:31:50+01:00
29,LongDress_r5_r5_d500,6,2023-03-21-10:32:13+01:00
29,LongDress_r3_r3_d500,6,2023-03-21-10:32:29+01:00
